Song ID,Song Number,Title,Language,Detected Key,Mode,Confidence,Score,Chord Count,Status
979,1,AAJ KA DIN YEHOVA NE BANAYA HAI,hindi,D Major,major,high,62,31,success
913,1,SPIRIT OF THE LIVING GOD,english,F Major,major,high,36,23,success
587,1,"ख्रिस्त माझा, तो सर्वांचा, या नमा त्याला",marathi,D Major,major,high,80,40,success
980,2,JO KROOS PE QURBAN HAI,hindi,D Major,major,high,64,32,success
914,2,SET MY SPIRIT FREE,english,G Major,major,high,24,12,success
588,2,धन्यवाद येशूला,marathi,G Major,major,high,56,28,success
981,3,NAYA JEEVAN MIL GAYA,hindi,G Major,major,high,46,23,success
549,3,SWEEP OVER MY SOUL,english,D Major,major,high,18,9,success
589,3,किती आनंद हा स्वर्गीय आनंद हा,marathi,D Major,major,high,110,55,success
982,4,MUKTI DILAYE YESHU NAAM,hindi,A Major,major,high,48,24,success
685,4,THE WINDOWS OF HEAVEN,english,C Major,major,high,16,8,success
590,4,प्रति दिनी प्रति वेळी काही घडू दे,marathi,G Major,major,high,92,46,success
686,5,BLESS THE LORD O MY SOUL,english,G Major,major,high,46,24,success
983,5,"YESHU NE KAHA ""JEEVAN KI ROTI""",hindi,D Major,major,high,42,21,success
591,5,या सर्व मिळूनी गाऊ गीत वैभवी ख्रिस्ताचे,marathi,G Major,major,high,112,56,success
687,6,GREAT IS THE LORD,english,G Major,major,high,54,27,success
984,6,YESHU KA NAAM HAI SARE ZAMEEN PAR,hindi,E Major,major,high,56,28,success
592,6,"ख्रिस्त माझा तारणारा, मला वाटे प्रिय फार",marathi,D Major,major,high,40,20,success
688,7,I KNOW IT WAS THE BLOOD,english,C Major,major,high,18,9,success
985,7,"VANDE PRABHU, VANDE MASIEH",hindi,G Major,major,high,50,25,success
593,7,"हर्ष वाटतो, बहुत हर्ष वाटतो",marathi,G Major,major,high,48,24,success
689,8,BURN BURN HOLY SPIRIT,english,D Major,major,high,30,15,success
986,8,HAR DIN NAYI ASHA KA,hindi,G Major,major,high,64,32,success
594,8,तुझे वात्सल्य जीवनाहून श्रेष्ठ,marathi,G Major,major,high,36,18,success
987,9,AAYE HAIN HUM TERE CHARANO MEIN,hindi,G Major,major,high,20,10,success
690,9,HIS NAME IS WONDERFUL,english,D Major,major,high,30,16,success
595,9,स्तुती-स्तुती करूया उपकार स्तुती करूया,marathi,G Major,major,high,60,30,success
691,10,FROM GLORY TO GLORY,english,G Major,major,high,48,24,success
