song_number,title,artist,detected_root,mode,score,confidence,chord_count
1,SPIRIT OF THE LIVING GOD,,F,major,36,high,23
2,SET MY SPIRIT FREE,,G,major,24,high,12
3,SWEEP OVER MY SOUL,,D,major,18,high,9
4,THE WINDOWS OF HEAVEN,,C,major,16,high,8
5,BLESS THE LORD O MY SOUL,,G,major,46,high,24
6,GREAT IS THE LORD,,G,major,54,high,27
7,I KNOW IT WAS THE BLOOD,,C,major,18,high,9
8,BURN BURN HOLY SPIRIT,,D,major,30,high,15
9,HIS NAME IS WONDERFUL,,D,major,30,high,16
10,FROM GLORY TO GLORY,,G,major,48,high,24
11,Iâ€™LL PRAISE HIS NAME,,D,major,18,high,9
12,ITâ€™S A LOVELY LOVELY NAME,,G,major,34,high,17
13,IN THE NAME OF JESUS,,G,major,30,high,15
14,ALL OVER THE WORLD,,G,major,32,high,16
15,REJOICE IN THE LORD,,G,major,8,high,4
16,Iâ€™LL SAY â€œYESâ€,,D,major,24,high,12
17,WE ARE GATHERING TOGETHER,,G,major,18,high,9
18,TO BE LIKE JESUS,,G,major,30,high,16
19,ITâ€™S NOT BY MIGHT,,G,major,20,high,10
20,Iâ€™VE FOUND A NEW WAY OF LIVING,,D,major,52,high,26
21,WITH MY HANDS LIFTED UP,,D,major,10,high,5
22,I WILL SING OF THE MERCIES OF THE LORD,,G,major,36,high,18
23,THEREFORE THE REDEEMED OF THE LORD,,G,major,50,high,25
24,COVER ME COVER ME,,G,major,52,high,26
25,LIFT JESUS HIGHER,,G,major,26,high,13
26,HE IS THE SAME UNCHANGING JESUS,,G,major,20,high,10
27,JEHOVAH JIREH,,G,major,54,high,27
28,FROM THE RISING OF THE SUN,,G,major,52,high,26
29,EVERYBODY OUGHT TO KNOW,,G,major,36,high,18
30,SING ALLELUJAH TO THE LORD,,D,major,54,high,27
31,I WILL SING UNTO THE LORD,,G,major,48,high,24
32,I WILL ENTER HIS GATES,,G,major,40,high,20
33,COME AND PRAISE HIM,,C,major,6,high,3
34,COME INTO HIS PRESENCE SINGING,,G,major,18,high,9
35,BLESS THE LORD O MY SOUL,,G,major,30,high,15
36,JESUS TAKE ME AS I AM,,C,major,8,high,4
37,WHEN I FEEL THE TOUCH,,G,major,30,high,15
38,I THANK YOU JESUS FOR YOUR LOVE TO ME,,G,major,34,high,17
39,I'VE TAKEN MY HARP DOWN,,G,major,36,high,18
40,THANK YOU GOD,,C,major,6,high,3
41,LET THE BEAUTY OF JESUS,,D,major,30,high,16
42,TURN YOUR EYES UPON JESUS,,D,major,50,high,25
43,I HAVE DECIDED TO FOLLOW JESUS,,C,major,8,high,4
44,I WANT TO WORSHIP THE LORD,,D,major,30,high,15
45,THIS IS THE DAY,,D,major,20,high,10
46,GIVE ME OIL IN MY LAMP,,D,major,22,high,11
47,I WAS GLAD WHEN THEY SAID UNTO ME,,D,major,16,high,8
48,PRAISE HIM PRAISE HIM,,D,major,14,high,7
49,JESUS TOOK MY BURDENS,,D,major,30,high,15
50,JESUS NAME ABOVE ALL NAMES,,D,major,28,high,14
