Reference Chord Alignment Report
Generated from reference_chords/english_master_chordbook.txt
===============================================================
- 1 | AAJ KA DIN YEHOVA NE BANAYA HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 1 | SPIRIT OF THE LIVING GOD | Current Key: F | Reference Key: F | Interval: 0 | Status: Already Correct
- 1 | ख्रिस्त माझा, तो सर्वांचा, या नमा त्याला | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 2 | JO KROOS PE QURBAN HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 2 | SET MY SPIRIT FREE | Current Key: G | Reference Key: G | Interval: 0 | Status: Already Correct
- 2 | धन्यवाद येशूला | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 3 | NAYA JEEVAN MIL GAYA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 3 | SWEEP OVER MY SOUL | Current Key: D | Reference Key: D | Interval: 0 | Status: Already Correct
- 3 | किती आनंद हा स्वर्गीय आनंद हा | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 4 | MUKTI DILAYE YESHU NAAM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 4 | THE WINDOWS OF HEAVEN | Current Key: C | Reference Key: C | Interval: 0 | Status: Already Correct
- 4 | प्रति दिनी प्रति वेळी काही घडू दे | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 5 | BLESS THE LORD O MY SOUL | Current Key: G | Reference Key: C | Interval: 5 | Status: Transposed
- 5 | YESHU NE KAHA "JEEVAN KI ROTI" | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 5 | या सर्व मिळूनी गाऊ गीत वैभवी ख्रिस्ताचे | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 6 | GREAT IS THE LORD | Current Key: G | Reference Key: G | Interval: 0 | Status: Already Correct
- 6 | YESHU KA NAAM HAI SARE ZAMEEN PAR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 6 | ख्रिस्त माझा तारणारा, मला वाटे प्रिय फार | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 7 | I KNOW IT WAS THE BLOOD | Current Key: C | Reference Key: C | Interval: 0 | Status: Already Correct
- 7 | VANDE PRABHU, VANDE MASIEH | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 7 | हर्ष वाटतो, बहुत हर्ष वाटतो | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 8 | BURN BURN HOLY SPIRIT | Current Key: D | Reference Key: D | Interval: 0 | Status: Already Correct
- 8 | HAR DIN NAYI ASHA KA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 8 | तुझे वात्सल्य जीवनाहून श्रेष्ठ | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 9 | AAYE HAIN HUM TERE CHARANO MEIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 9 | HIS NAME IS WONDERFUL | Current Key: D | Reference Key: D | Interval: 0 | Status: Already Correct
- 9 | स्तुती-स्तुती करूया उपकार स्तुती करूया | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 10 | FROM GLORY TO GLORY | Current Key: G | Reference Key: G | Interval: 0 | Status: Already Correct
- 10 | SIYON DESH HUMARA HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 10 | क्रुसास येशु टांगला, अर्पिलेला कोकरा | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 11 | HUM AAYE HAI TERE SHARAN MEIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 11 | Iâ€™LL PRAISE HIS NAME | Current Key: D | Reference Key: D | Interval: 0 | Status: Already Correct
- 11 | स्तव तुझा करू धावा, हे सुखाच्या उगमा | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 12 | HUM TO JALTE DEEP HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 12 | ITâ€™S A LOVELY LOVELY NAME | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 12 | येशु माझा मेंढपाळ, आम्ही त्याची मेंढरे | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 13 | IN THE NAME OF JESUS | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 13 | JAI DENE WALE PRABHU YESHU KO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 13 | धन्य हो धन्य येशु माझा, (Blessed Assurance) | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 14 | ALL OVER THE WORLD | Current Key: G | Reference Key: C | Interval: 5 | Status: Transposed
- 14 | PRABHU MERA JEEVAN TUNE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 14 | तू बोलावीलें सेवा कराया, प्रभु, आलों आनंदे, (I Am Thine O Lord) | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 15 | PYARA YESHU KA PAIGAM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 15 | REJOICE IN THE LORD | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 15 | होईल वृष्टि कृपेची (There Shall Be Showers) | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 16 | Iâ€™LL SAY â€œYESâ€ | Current Key: D | Reference Key: G | Interval: 5 | Status: Transposed
- 16 | SHARON KA GULAB HAI TU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 16 | वंदा, वंदा तारक प्रभु येशूला ! (Praise Him Praise Him) | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 17 | NEELE AASMAN KE PAAR JAYENGE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 17 | WE ARE GATHERING TOGETHER | Current Key: G | Reference Key: G | Interval: 0 | Status: Already Correct
- 17 | प्रभू ख्रिस्ता कृपामय, मला तूंचि हो आश्रय; (Rock Of Ages) | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 18 | TO BE LIKE JESUS | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 18 | UTHATE HAIN TERA NAAM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 18 | दिव्य तेजे प्रकाशीत स्थळ, (There's A Land That Is Fairer) | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 19 | ITâ€™S NOT BY MIGHT | Current Key: G | Reference Key: Dm | Interval: 10 | Status: Transposed
- 19 | USNE DAKHRAS AUR TEL UNDELA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 19 | येशूच्या रक्ते भरले, धुण्याचे कुंड जाण (There Is A Fountain) | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 20 | HUM YESHU KE SANG EK DIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 20 | Iâ€™VE FOUND A NEW WAY OF LIVING | Current Key: D | Reference Key: D | Interval: 0 | Status: Already Correct
- 20 | कोण मित्र येशुवाणी, सारें ओझे वाहाया ? (What A Friend We Have In Jesus) | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 21 | WITH MY HANDS LIFTED UP | Current Key: D | Reference Key: D | Interval: 0 | Status: Already Correct
- 21 | YAHOVA KI STUTI KARO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 21 | येशूची सेवा आवडे, गेलो सुवेळी त्याकडे, (O Happy Day) | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 22 | I WILL SING OF THE MERCIES OF THE LORD | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 22 | YESHU HAI SACCHA GADARIYA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 23 | THEREFORE THE REDEEMED OF THE LORD | Current Key: G | Reference Key: G | Interval: 0 | Status: Already Correct
- 23 | VACHAN TERA HE PRABHU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 24 | COVER ME COVER ME | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 24 | KHUL JAYEGI KITABE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 25 | LIFT JESUS HIGHER | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 25 | TERI ICCHA POORI HO JAYE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 26 | AAWAZ UTHAYENGE, HUM SAAZ BAYAYENGE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 26 | HE IS THE SAME UNCHANGING JESUS | Current Key: G | Reference Key: C | Interval: 5 | Status: Transposed
- 27 | AADI AUR ANT TU HI HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 27 | JEHOVAH JIREH | Current Key: G | Reference Key: Em | Interval: 0 | Status: Transposed
- 28 | ASHISH TUJHSE CHAHTE HAIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 28 | FROM THE RISING OF THE SUN | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 29 | EVERYBODY OUGHT TO KNOW | Current Key: G | Reference Key: F | Interval: 10 | Status: Transposed
- 29 | GHATAYON PAR SAWAR HOKAR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 30 | SING ALLELUJAH TO THE LORD | Current Key: D | Reference Key: Am | Interval: 10 | Status: Transposed
- 30 | ZINDAGI MERI BADAL GAYI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 31 | I WILL SING UNTO THE LORD | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 31 | JAI JAI PRABHU YESHU KI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 32 | I WILL ENTER HIS GATES | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 32 | JAB SE PYARA YESHU AAYA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 33 | COME AND PRAISE HIM | Current Key: C | Reference Key: D | Interval: 2 | Status: Transposed
- 33 | JAYENGE UTTAM DESH MEIN ZAROOR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 34 | COME INTO HIS PRESENCE SINGING | Current Key: G | Reference Key: C | Interval: 5 | Status: Transposed
