Language,Song Number,Database Title,Reference Title,Normalized Match,Exact Match,Notes
english,1,SPIRIT OF THE LIVING GOD,SPIRIT OF THE LIVING GOD,true,true,Exact Match
english,2,SET MY SPIRIT FREE,SET MY SPIRIT FREE,true,true,Exact Match
english,3,SWEEP OVER MY SOUL,SWEEP OVER MY SOUL,true,true,Exact Match
english,4,THE WINDOWS OF HEAVEN,THE WINDOWS OF HEAVEN,true,true,Exact Match
english,5,BLESS THE LORD O MY SOUL,BLESS THE LORD O MY SOUL,true,true,Exact Match
english,6,GREAT IS THE LORD,GREAT IS THE LORD,true,true,Exact Match
english,7,I KNOW IT WAS THE BLOOD,I KNOW IT WAS THE BLOOD,true,true,Exact Match
english,8,BURN BURN HOLY SPIRIT,BURN BURN HOLY SPIRIT,true,true,Exact Match
english,9,HIS NAME IS WONDERFUL,HIS NAME IS WONDERFUL,true,true,Exact Match
english,10,FROM GLORY TO GLORY,FROM GLORY TO GLORY,true,true,Exact Match
english,11,Iâ€™LL PRAISE HIS NAME,I'LL PRAISE HIS NAME,false,false,Manual Review Required
english,12,ITâ€™S A LOVELY LOVELY NAME,IT'S A LOVELY LOVELY NAME,false,false,Manual Review Required
english,13,IN THE NAME OF JESUS,IN THE NAME OF JESUS,true,true,Exact Match
english,14,ALL OVER THE WORLD,ALL OVER THE WORLD,true,true,Exact Match
english,15,REJOICE IN THE LORD,REJOICE IN THE LORD,true,true,Exact Match
english,16,Iâ€™LL SAY â€œYESâ€,"I'LL SAY ""YES""",false,false,Manual Review Required
english,17,WE ARE GATHERING TOGETHER,WE ARE GATHERING TOGETHER,true,true,Exact Match
english,18,TO BE LIKE JESUS,TO BE LIKE JESUS,true,true,Exact Match
english,19,ITâ€™S NOT BY MIGHT,IT'S NOT BY MIGHT,false,false,Manual Review Required
english,20,Iâ€™VE FOUND A NEW WAY OF LIVING,I'VE FOUND A NEW WAY OF LIVING,false,false,Manual Review Required
english,21,WITH MY HANDS LIFTED UP,WITH MY HANDS LIFTED UP,true,true,Exact Match
english,22,I WILL SING OF THE MERCIES OF THE LORD,I WILL SING OF THE MERCIES OF THE LORD,true,true,Exact Match
english,23,THEREFORE THE REDEEMED OF THE LORD,THEREFORE THE REDEEMED OF THE LORD,true,true,Exact Match
english,24,COVER ME COVER ME,COVER ME COVER ME,true,true,Exact Match
english,25,LIFT JESUS HIGHER,LIFT JESUS HIGHER,true,true,Exact Match
english,26,HE IS THE SAME UNCHANGING JESUS,HE IS THE SAME UNCHANGING JESUS,true,true,Exact Match
english,27,JEHOVAH JIREH,JEHOVAH JIREH,true,true,Exact Match
english,28,FROM THE RISING OF THE SUN,FROM THE RISING OF THE SUN,true,true,Exact Match
english,29,EVERYBODY OUGHT TO KNOW,EVERYBODY OUGHT TO KNOW,true,true,Exact Match
english,30,SING ALLELUJAH TO THE LORD,SING ALLELUJAH TO THE LORD,true,true,Exact Match
english,31,I WILL SING UNTO THE LORD,I WILL SING UNTO THE LORD,true,true,Exact Match
english,32,I WILL ENTER HIS GATES,I WILL ENTER HIS GATES,true,true,Exact Match
english,33,COME AND PRAISE HIM,COME AND PRAISE HIM,true,true,Exact Match
english,34,COME INTO HIS PRESENCE SINGING,COME INTO HIS PRESENCE SINGING,true,true,Exact Match
english,35,BLESS THE LORD O MY SOUL,BLESS THE LORD O MY SOUL,true,true,Exact Match
english,36,JESUS TAKE ME AS I AM,JESUS TAKE ME AS I AM,true,true,Exact Match
english,37,WHEN I FEEL THE TOUCH,WHEN I FEEL THE TOUCH,true,true,Exact Match
english,38,I THANK YOU JESUS FOR YOUR LOVE TO ME,I THANK YOU JESUS FOR YOUR LOVE TO ME,true,true,Exact Match
english,39,I'VE TAKEN MY HARP DOWN,I'VE TAKEN MY HARP DOWN,true,true,Exact Match
english,40,THANK YOU GOD,THANK YOU GOD,true,true,Exact Match
english,41,LET THE BEAUTY OF JESUS,LET THE BEAUTY OF JESUS,true,true,Exact Match
english,42,TURN YOUR EYES UPON JESUS,TURN YOUR EYES UPON JESUS,true,true,Exact Match
english,43,I HAVE DECIDED TO FOLLOW JESUS,I HAVE DECIDED TO FOLLOW JESUS,true,true,Exact Match
english,44,I WANT TO WORSHIP THE LORD,I WANT TO WORSHIP THE LORD,true,true,Exact Match
english,45,THIS IS THE DAY,THIS IS THE DAY,true,true,Exact Match
english,46,GIVE ME OIL IN MY LAMP,GIVE ME OIL IN MY LAMP,true,true,Exact Match
english,47,I WAS GLAD WHEN THEY SAID UNTO ME,I WAS GLAD WHEN THEY SAID UNTO ME,true,true,Exact Match
english,48,PRAISE HIM PRAISE HIM,PRAISE HIM PRAISE HIM,true,true,Exact Match
english,49,JESUS TOOK MY BURDENS,JESUS TOOK MY BURDENS,true,true,Exact Match
