Language,Song Number,Original Title,Normalized Title,Reference Key
english,1,Spirit of the Living God,spirit of the living god,F
english,2,Set My Spirit Free,set my spirit free,F
english,3,Sweep Over My Soul,sweep over my soul,F
english,4,Thewindowsof Heavenareopen,thewindowsof heavenareopen,A
english,5,Blessthe Lord Omysoul Magnify Hiswonderfulname,blessthe lord omysoul magnify hiswonderfulname,F
english,6,GREATISTHELOR Dandgreatlytobepraised,greatisthelor dandgreatlytobepraised,G
english,7,I Know It Was the Blood,i know it was the blood,G
english,8,Burn Burn Holy Spirit,burn burn holy spirit,D
english,9,Hisnameiswonderful,hisnameiswonderful,C
english,10,Fromglorytoglory Heschangingme,fromglorytoglory heschangingme,
english,14,Allovertheworld,allovertheworld,C
english,15,Rejoiceinthe Lordalways,rejoiceinthe lordalways,F
english,17,Wearegatheringtogetherunto Him,wearegatheringtogetherunto him,G
english,18,Tobelike Jesus,tobelike jesus,G
english,20,Itsnotbymightitsnotbypower,itsnotbymightitsnotbypower,F
english,21,With My Hands Lifted Up,with my hands lifted up,G
english,22,IWILLSINGOFTHEMERCIESOFTHELORD,iwillsingofthemerciesofthelord,D
english,23,Thereforetheredeemedofthe Lord,thereforetheredeemedofthe lord,
english,24,COVERMECOVERME,covermecoverme,C
english,26,HEISTHESAMEUNCHANGINGJESUS,heisthesameunchangingjesus,A
english,27,Jehovah Jireh,jehovah jireh,F
english,28,FROMTHERISINGOFTHESUN,fromtherisingofthesun,F
english,29,EVERYBODYOUGHTTOKNOW,everybodyoughttoknow,F
english,30,Sing Hallelujahtothe Lord,sing hallelujahtothe lord,D
english,31,IWILLSINGUNTOTHELORD,iwillsinguntothelord,D
english,32,Iwillenter Hisgates,iwillenter hisgates,E
english,33,Come and Praise Him,come and praise him,G
english,34,COMEINTOHISPRESENCESINGINGHALLELUJAH,comeintohispresencesinginghallelujah,D
english,35,BLESSTHELORDANDALLTHATISWITHINME,blessthelordandallthatiswithinme,F
english,37,WHENIFEELTHETOUCH,whenifeelthetouch,F
english,42,Turn Your Eyes Upon Jesus,turn your eyes upon jesus,F
english,45,This Is The Daythatthe Lordhathmade,this is the daythatthe lordhathmade,F
english,46,Give Me Oil In My Lamp,give me oil in my lamp,D
english,48,Praise Him Praise Him Jesusourblessedredeemer,praise him praise him jesusourblessedredeemer,G
english,50,Jesusnameaboveallnames,jesusnameaboveallnames,F
english,52,LETTHEREBELOVE,lettherebelove,F
english,53,For Thou O Lordarthighabove,for thou o lordarthighabove,F
english,54,BYHISWORDIHAVENOTFEARINME,byhiswordihavenotfearinme,G
english,60,ALMIGHTYGODWEBRINGYOUPRAISE,almightygodwebringyoupraise,D
english,64,HEISMYEVERYTHING,heismyeverything,G
english,66,GIVETHANKSWITHAGRATEFULHEART,givethankswithagratefulheart,G
english,67,Thylovingkindness Jeevansebehtar,thylovingkindness jeevansebehtar,F
english,69,He Is Lord,he is lord,G
english,70,Webringthe Sacrificeof Praise,webringthe sacrificeof praise,F
english,71,INMOMENTSLIKETHESE,inmomentslikethese,E
english,72,Its Your Blood That Cleanses Me,its your blood that cleanses me,
english,73,Jesus We Enthrone You,jesus we enthrone you,G
english,75,LETYOURWORDBEBORN,letyourwordbeborn,F
english,76,MAJESTYWORSHIPHISMAJESTY,majestyworshiphismajesty,G
english,77,Openmyeyes Lord,openmyeyes lord,D
