Canonical Reference Song Index
=======================================
english | #1 | Spirit of the Living God | F | normalized= spirit of the living god
english | #2 | Set My Spirit Free | F | normalized= set my spirit free
english | #3 | Sweep Over My Soul | F | normalized= sweep over my soul
english | #4 | Thewindowsof Heavenareopen | A | normalized= thewindowsof heavenareopen
english | #5 | Blessthe Lord Omysoul Magnify Hiswonderfulname | F | normalized= blessthe lord omysoul magnify hiswonderfulname
english | #6 | GREATISTHELOR Dandgreatlytobepraised | G | normalized= greatisthelor dandgreatlytobepraised
english | #7 | I Know It Was the Blood | G | normalized= i know it was the blood
english | #8 | Burn Burn Holy Spirit | D | normalized= burn burn holy spirit
english | #9 | Hisnameiswonderful | C | normalized= hisnameiswonderful
english | #10 | Fromglorytoglory Heschangingme |  | normalized= fromglorytoglory heschangingme
english | #14 | Allovertheworld | C | normalized= allovertheworld
english | #15 | Rejoiceinthe Lordalways | F | normalized= rejoiceinthe lordalways
english | #17 | Wearegatheringtogetherunto Him | G | normalized= wearegatheringtogetherunto him
english | #18 | Tobelike Jesus | G | normalized= tobelike jesus
english | #20 | Itsnotbymightitsnotbypower | F | normalized= itsnotbymightitsnotbypower
english | #21 | With My Hands Lifted Up | G | normalized= with my hands lifted up
english | #22 | IWILLSINGOFTHEMERCIESOFTHELORD | D | normalized= iwillsingofthemerciesofthelord
english | #23 | Thereforetheredeemedofthe Lord |  | normalized= thereforetheredeemedofthe lord
english | #24 | COVERMECOVERME | C | normalized= covermecoverme
english | #26 | HEISTHESAMEUNCHANGINGJESUS | A | normalized= heisthesameunchangingjesus
english | #27 | Jehovah Jireh | F | normalized= jehovah jireh
english | #28 | FROMTHERISINGOFTHESUN | F | normalized= fromtherisingofthesun
english | #29 | EVERYBODYOUGHTTOKNOW | F | normalized= everybodyoughttoknow
english | #30 | Sing Hallelujahtothe Lord | D | normalized= sing hallelujahtothe lord
english | #31 | IWILLSINGUNTOTHELORD | D | normalized= iwillsinguntothelord
english | #32 | Iwillenter Hisgates | E | normalized= iwillenter hisgates
english | #33 | Come and Praise Him | G | normalized= come and praise him
english | #34 | COMEINTOHISPRESENCESINGINGHALLELUJAH | D | normalized= comeintohispresencesinginghallelujah
english | #35 | BLESSTHELORDANDALLTHATISWITHINME | F | normalized= blessthelordandallthatiswithinme
english | #37 | WHENIFEELTHETOUCH | F | normalized= whenifeelthetouch
english | #42 | Turn Your Eyes Upon Jesus | F | normalized= turn your eyes upon jesus
english | #45 | This Is The Daythatthe Lordhathmade | F | normalized= this is the daythatthe lordhathmade
english | #46 | Give Me Oil In My Lamp | D | normalized= give me oil in my lamp
english | #48 | Praise Him Praise Him Jesusourblessedredeemer | G | normalized= praise him praise him jesusourblessedredeemer
english | #50 | Jesusnameaboveallnames | F | normalized= jesusnameaboveallnames
english | #52 | LETTHEREBELOVE | F | normalized= lettherebelove
english | #53 | For Thou O Lordarthighabove | F | normalized= for thou o lordarthighabove
english | #54 | BYHISWORDIHAVENOTFEARINME | G | normalized= byhiswordihavenotfearinme
english | #60 | ALMIGHTYGODWEBRINGYOUPRAISE | D | normalized= almightygodwebringyoupraise
english | #64 | HEISMYEVERYTHING | G | normalized= heismyeverything
english | #66 | GIVETHANKSWITHAGRATEFULHEART | G | normalized= givethankswithagratefulheart
english | #67 | Thylovingkindness Jeevansebehtar | F | normalized= thylovingkindness jeevansebehtar
english | #69 | He Is Lord | G | normalized= he is lord
english | #70 | Webringthe Sacrificeof Praise | F | normalized= webringthe sacrificeof praise
english | #71 | INMOMENTSLIKETHESE | E | normalized= inmomentslikethese
english | #72 | Its Your Blood That Cleanses Me |  | normalized= its your blood that cleanses me
english | #73 | Jesus We Enthrone You | G | normalized= jesus we enthrone you
english | #75 | LETYOURWORDBEBORN | F | normalized= letyourwordbeborn
english | #76 | MAJESTYWORSHIPHISMAJESTY | G | normalized= majestyworshiphismajesty
english | #77 | Openmyeyes Lord | D | normalized= openmyeyes lord
english | #82 | WEAREHERETOPRAISEYOU | D | normalized= weareheretopraiseyou
english | #84 | WHENILOOKINTOYOURHOLINESS | D | normalized= whenilookintoyourholiness
english | #87 | Imfollowing Jesus | F | normalized= imfollowing jesus
english | #88 | COMEBLESSTHELORDALLYESERVANTSOFTHELORD | G | normalized= comeblessthelordallyeservantsofthelord
english | #95 | Holy Spiritwewelcomeyou | C | normalized= holy spiritwewelcomeyou
english | #97 | Blessedbethenameofthe Lord Heisworthytobepraised | F | normalized= blessedbethenameofthe lord heisworthytobepraised
english | #99 | Ah Lord God Thouhastmadetheheavens | C | normalized= ah lord god thouhastmadetheheavens
english | #100 | Wehavecomeinto Hishouse | F | normalized= wehavecomeinto hishouse
english | #104 | All Heavens Declare | A | normalized= all heavens declare
english | #105 | JESUSWHATAWONDERYOUARE | G | normalized= jesuswhatawonderyouare
english | #110 | GIVEHEEDTOMYWORDSOLORD | F | normalized= giveheedtomywordsolord
english | #111 | Takeupyour Cross | F | normalized= takeupyour cross
english | #112 | HAVEYOURWAY | G | normalized= haveyourway
english | #115 | The Moveisonmy Lord | C | normalized= the moveisonmy lord
english | #119 | LORDGIVEMEALSOSPRINGSOFWATER | E | normalized= lordgivemealsospringsofwater
english | #120 | Amazing Grace How Sweet That Sound | G | normalized= amazing grace how sweet that sound
english | #121 | Theycomefromtheeastandwest | D | normalized= theycomefromtheeastandwest
english | #123 | Ilove Himbecausehefirstlovedme | A | normalized= ilove himbecausehefirstlovedme
english | #125 | IAMTHINKINGOFTHERAPTURE | F | normalized= iamthinkingoftherapture
english | #128 | WHENTHEBATTLEISOVER | F | normalized= whenthebattleisover
english | #130 | WEAREMARCHINGTOZION | G | normalized= wearemarchingtozion
english | #136 | Isurrender All | D | normalized= isurrender all
english | #137 | Letmewalk Fillmyway | F | normalized= letmewalk fillmyway
english | #141 | LOVELIFTEDME | A | normalized= loveliftedme
english | #142 | Thereshallbeshowersofblessings | A | normalized= thereshallbeshowersofblessings
english | #144 | Iamthine Oh Lord Drawmenearer | E | normalized= iamthine oh lord drawmenearer
english | #145 | Ihavelostmy Reputation IAMMARKED | A | normalized= ihavelostmy reputation iammarked
english | #148 | JESUSHASATABLESPREAD | C | normalized= jesushasatablespread
english | #149 | Inthesweetbyandby | G | normalized= inthesweetbyandby
english | #152 | Shallwegatherattheriver | E | normalized= shallwegatherattheriver
english | #156 | Praisethe Lord | G | normalized= praisethe lord
english | #161 | Thereisafountainfilledwithblood |  | normalized= thereisafountainfilledwithblood
english | #162 | MINEEYESHAVESEENTHEGLORY | G | normalized= mineeyeshaveseentheglory
