===== ENGLISH =====
English 1 | Spirit of the Living God | Key: F
English 2 | Set My Spirit Free | Key: F
English 3 | Sweep Over My Soul | Key: F
English 4 | Thewindowsof Heavenareopen | Key: A
English 5 | Blessthe Lord Omysoul Magnify Hiswonderfulname | Key: F
English 6 | GREATISTHELOR Dandgreatlytobepraised | Key: G
English 7 | I Know It Was the Blood | Key: G
English 8 | Burn Burn Holy Spirit | Key: D
English 9 | Hisnameiswonderful | Key: C
English 10 | Fromglorytoglory Heschangingme | Key: Bb
English 14 | Allovertheworld | Key: C
English 15 | Rejoiceinthe Lordalways | Key: F
English 17 | Wearegatheringtogetherunto Him | Key: G
English 18 | Tobelike Jesus | Key: G
English 20 | Itsnotbymightitsnotbypower | Key: F
English 21 | With My Hands Lifted Up | Key: G
English 22 | IWILLSINGOFTHEMERCIESOFTHELORD | Key: D
English 23 | Thereforetheredeemedofthe Lord | Key: Bb
English 24 | COVERMECOVERME | Key: C
English 26 | HEISTHESAMEUNCHANGINGJESUS | Key: A
English 27 | Jehovah Jireh | Key: F
English 28 | FROMTHERISINGOFTHESUN | Key: F
English 29 | EVERYBODYOUGHTTOKNOW | Key: F
English 30 | Sing Hallelujahtothe Lord | Key: D
English 31 | IWILLSINGUNTOTHELORD | Key: D
English 32 | Iwillenter Hisgates | Key: E
English 33 | Come and Praise Him | Key: G
English 34 | COMEINTOHISPRESENCESINGINGHALLELUJAH | Key: D
English 35 | BLESSTHELORDANDALLTHATISWITHINME | Key: F
English 37 | WHENIFEELTHETOUCH | Key: F
English 42 | Turn Your Eyes Upon Jesus | Key: F
English 45 | This Is The Daythatthe Lordhathmade | Key: F
English 46 | Give Me Oil In My Lamp | Key: D
English 48 | Praise Him Praise Him Jesusourblessedredeemer | Key: G
English 50 | Jesusnameaboveallnames | Key: F
English 52 | LETTHEREBELOVE | Key: F
English 53 | For Thou O Lordarthighabove | Key: F
English 54 | BYHISWORDIHAVENOTFEARINME | Key: G
English 60 | ALMIGHTYGODWEBRINGYOUPRAISE | Key: D
English 64 | HEISMYEVERYTHING | Key: G
English 66 | GIVETHANKSWITHAGRATEFULHEART | Key: G
English 67 | Thylovingkindness Jeevansebehtar | Key: F
English 69 | He Is Lord | Key: G
English 70 | Webringthe Sacrificeof Praise | Key: F
English 71 | INMOMENTSLIKETHESE | Key: E
English 72 | Its Your Blood That Cleanses Me | Key: Bb
English 73 | Jesus We Enthrone You | Key: G
English 75 | LETYOURWORDBEBORN | Key: F
English 76 | MAJESTYWORSHIPHISMAJESTY | Key: G
